"uuid","lat","lon","depth","time","name","provider"
"20263cbb7bfbc0c06a8f7013a83b2ba0","24.372189","-110.278797","18.0","2019-04-17T22:02:30","Tenacity","Rose Point"
"20263cbb7bfbc0c06a8f7013a83b2ba0","24.372208","-110.278857","18.0","2019-04-17T22:02:32","Tenacity","Rose Point"
"20263cbb7bfbc0c06a8f7013a83b2ba0","24.372232","-110.278949","18.0","2019-04-17T22:02:35","Tenacity","Rose Point"
"20263cbb7bfbc0c06a8f7013a83b2ba0","24.372241","-110.278981","18.0","2019-04-17T22:02:36","Tenacity","Rose Point"
"20263cbb7bfbc0c06a8f7013a83b2ba0","24.372261","-110.279042","18.0","2019-04-17T22:02:38","Tenacity","Rose Point"
"20263cbb7bfbc0c06a8f7013a83b2ba0","24.372289","-110.279135","17.9","2019-04-17T22:02:41","Tenacity","Rose Point"
"20263cbb7bfbc0c06a8f7013a83b2ba0","24.372308","-110.279198","18.0","2019-04-17T22:02:43","Tenacity","Rose Point"
"20263cbb7bfbc0c06a8f7013a83b2ba0","24.372324","-110.27926","18.0","2019-04-17T22:02:45","Tenacity","Rose Point"
"20263cbb7bfbc0c06a8f7013a83b2ba0","24.372339","-110.279323","18.0","2019-04-17T22:02:47","Tenacity","Rose Point"
"20263cbb7bfbc0c06a8f7013a83b2ba0","24.372354","-110.279384","17.9","2019-04-17T22:02:49","Tenacity","Rose Point"
"20263cbb7bfbc0c06a8f7013a83b2ba0","24.372371","-110.279477","18.0","2019-04-17T22:02:52","Tenacity","Rose Point"
"20263cbb7bfbc0c06a8f7013a83b2ba0","24.372375","-110.279539","17.9","2019-04-17T22:02:54","Tenacity","Rose Point"
"20263cbb7bfbc0c06a8f7013a83b2ba0","24.372381","-110.2796","17.9","2019-04-17T22:02:56","Tenacity","Rose Point"
"20263cbb7bfbc0c06a8f7013a83b2ba0","24.372386","-110.279662","18.0","2019-04-17T22:02:58","Tenacity","Rose Point"
"20263cbb7bfbc0c06a8f7013a83b2ba0","24.372397","-110.279724","17.9","2019-04-17T22:03:00","Tenacity","Rose Point"
"20263cbb7bfbc0c06a8f7013a83b2ba0","24.372423","-110.279813","17.9","2019-04-17T22:03:03","Tenacity","Rose Point"
"20263cbb7bfbc0c06a8f7013a83b2ba0","24.372444","-110.279868","17.8","2019-04-17T22:03:05","Tenacity","Rose Point"
"20263cbb7bfbc0c06a8f7013a83b2ba0","24.372463","-110.279927","17.9","2019-04-17T22:03:07","Tenacity","Rose Point"
"20263cbb7bfbc0c06a8f7013a83b2ba0","24.372481","-110.279984","17.9","2019-04-17T22:03:09","Tenacity","Rose Point"
